slide,Tumor,roi_type,mf_count,total_count
143.tiff,cMC,challenging,7,23
144.tiff,cMC,challenging,9,20
145.tiff,cMC,challenging,0,4
146.tiff,cMC,challenging,2,6
147.tiff,cMC,challenging,1,3
148.tiff,cMC,challenging,0,4
149.tiff,cMC,challenging,0,2
150.tiff,cMC,challenging,6,8
151.tiff,cMC,challenging,39,77
152.tiff,cMC,challenging,1,5
153.tiff,cMC,random,0,3
154.tiff,cMC,random,0,2
155.tiff,cMC,random,0,1
156.tiff,cMC,random,0,1
157.tiff,cMC,random,16,37
158.tiff,cMC,random,0,1
159.tiff,cMC,random,0,2
160.tiff,cMC,random,9,18
161.tiff,cMC,random,1,4
162.tiff,cMC,random,3,12
163.tiff,ccMCT,challenging,5,15
164.tiff,ccMCT,challenging,0,3
165.tiff,ccMCT,challenging,0,4
166.tiff,ccMCT,challenging,1,5
167.tiff,ccMCT,challenging,1,3
168.tiff,ccMCT,challenging,6,7
169.tiff,ccMCT,challenging,2,6
170.tiff,ccMCT,challenging,1,3
171.tiff,ccMCT,challenging,0,2
172.tiff,ccMCT,challenging,10,14
173.tiff,ccMCT,random,1,3
174.tiff,ccMCT,random,1,2
175.tiff,ccMCT,random,7,9
176.tiff,ccMCT,random,0,1
177.tiff,ccMCT,random,23,34
178.tiff,ccMCT,random,4,7
179.tiff,ccMCT,random,19,42
180.tiff,ccMCT,random,0,4
181.tiff,ccMCT,random,0,1
182.tiff,ccMCT,random,7,19
183.tiff,fLym,challenging,1,4
184.tiff,fLym,challenging,19,31
185.tiff,fLym,challenging,0,2
186.tiff,fLym,challenging,15,33
187.tiff,fLym,challenging,23,34
188.tiff,fLym,challenging,0,7
189.tiff,fLym,challenging,1,10
190.tiff,fLym,challenging,3,10
191.tiff,fLym,challenging,2,9
192.tiff,fLym,challenging,2,3
193.tiff,fLym,random,46,78
194.tiff,fLym,random,30,68
195.tiff,fLym,random,0,1
196.tiff,fLym,random,36,71
197.tiff,fLym,random,3,11
198.tiff,fLym,random,35,55
199.tiff,fLym,random,2,6
200.tiff,fLym,random,8,20
201.tiff,fLym,random,34,44
202.tiff,fLym,random,7,15
203.tiff,fSTS,challenging,0,5
204.tiff,fSTS,challenging,0,3
205.tiff,fSTS,challenging,0,1
206.tiff,fSTS,challenging,5,12
207.tiff,fSTS,challenging,6,8
208.tiff,fSTS,challenging,0,2
209.tiff,fSTS,challenging,13,18
210.tiff,fSTS,challenging,7,12
211.tiff,fSTS,challenging,0,1
212.tiff,fSTS,challenging,3,6
213.tiff,fSTS,random,18,26
214.tiff,fSTS,random,10,12
215.tiff,fSTS,random,0,1
216.tiff,fSTS,random,3,4
217.tiff,fSTS,random,19,25
218.tiff,fSTS,random,1,13
219.tiff,fSTS,random,14,19
220.tiff,fSTS,random,26,38
221.tiff,fSTS,random,7,9
222.tiff,fSTS,random,20,35
223.tiff,hAC,challenging,0,1
224.tiff,hAC,challenging,2,2
225.tiff,hAC,challenging,0,1
226.tiff,hAC,challenging,0,2
227.tiff,hAC,challenging,0,2
228.tiff,hAC,challenging,0,2
229.tiff,hAC,challenging,0,1
230.tiff,hAC,challenging,0,2
231.tiff,hAC,challenging,0,1
232.tiff,hAC,random,0,1
233.tiff,hAC,random,0,2
234.tiff,hAC,random,2,3
235.tiff,hAC,random,0,1
236.tiff,hAC,random,0,1
237.tiff,hAC,random,0,1
238.tiff,hAC,random,0,3
239.tiff,hAC,random,0,1
240.tiff,hAC,random,0,3
241.tiff,hBlC,challenging,0,1
242.tiff,hBlC,challenging,0,2
243.tiff,hBlC,challenging,1,1
244.tiff,hBlC,challenging,6,10
245.tiff,hBlC,challenging,1,5
246.tiff,hBlC,challenging,7,9
247.tiff,hBlC,challenging,0,1
248.tiff,hBlC,challenging,1,5
249.tiff,hBlC,challenging,2,4
250.tiff,hBlC,challenging,0,1
251.tiff,hBlC,random,1,1
252.tiff,hBlC,random,0,1
253.tiff,hBlC,random,0,2
254.tiff,hBlC,random,3,4
255.tiff,hBlC,random,0,2
256.tiff,hBlC,random,0,2
257.tiff,hBlC,random,0,1
258.tiff,hBlC,random,0,1
259.tiff,hBlC,random,9,13
260.tiff,hBlC,random,2,5
261.tiff,hCoC,challenging,18,24
262.tiff,hCoC,challenging,0,1
263.tiff,hCoC,challenging,12,18
264.tiff,hCoC,challenging,0,1
265.tiff,hCoC,challenging,13,28
266.tiff,hCoC,challenging,0,7
267.tiff,hCoC,challenging,2,3
268.tiff,hCoC,challenging,3,5
269.tiff,hCoC,challenging,27,41
270.tiff,hCoC,challenging,1,3
271.tiff,hCoC,challenging,1,3
272.tiff,hCoC,random,0,1
273.tiff,hCoC,random,41,64
274.tiff,hCoC,random,0,3
275.tiff,hCoC,random,0,1
276.tiff,hCoC,random,50,87
277.tiff,hCoC,random,0,3
278.tiff,hCoC,random,17,28
279.tiff,hCoC,random,22,30
280.tiff,hCoC,random,21,36
281.tiff,hCoC,random,12,18
282.tiff,hGBM,challenging,0,3
283.tiff,hGBM,challenging,0,1
284.tiff,hGBM,challenging,0,1
285.tiff,hGBM,challenging,0,2
286.tiff,hGBM,challenging,1,4
287.tiff,hGBM,challenging,0,1
288.tiff,hGBM,challenging,0,1
289.tiff,hGBM,challenging,0,1
290.tiff,hGBM,challenging,0,2
291.tiff,hGBM,challenging,0,2
292.tiff,hGBM,random,0,3
293.tiff,hGBM,random,0,1
294.tiff,hGBM,random,11,25
295.tiff,hGBM,random,4,8
296.tiff,hGBM,random,0,1
297.tiff,hGBM,random,11,21
298.tiff,hGBM,random,1,4
299.tiff,hGBM,random,0,1
300.tiff,hGBM,random,2,18
301.tiff,hGBM,random,0,1
302.tiff,hLUAD,challenging,2,4
303.tiff,hLUAD,challenging,1,3
304.tiff,hLUAD,challenging,0,1
305.tiff,hLUAD,challenging,3,3
306.tiff,hLUAD,challenging,2,5
307.tiff,hLUAD,challenging,1,3
308.tiff,hLUAD,challenging,5,7
309.tiff,hLUAD,challenging,1,4
310.tiff,hLUAD,challenging,4,5
311.tiff,hLUAD,challenging,0,2
312.tiff,hLUAD,challenging,0,2
313.tiff,hLUAD,challenging,2,13
314.tiff,hLUAD,random,2,4
315.tiff,hLUAD,random,0,4
316.tiff,hLUAD,random,21,27
317.tiff,hLUAD,random,9,56
318.tiff,hLUAD,random,9,21
319.tiff,hLUAD,random,11,18
320.tiff,hLUAD,random,8,16
321.tiff,hLUAD,random,0,1
322.tiff,hLUAD,random,1,3
323.tiff,hLUAD,random,0,1
324.tiff,hLUAD,random,0,2
325.tiff,hLUAD,random,3,8
326.tiff,hMel,challenging,0,1
327.tiff,hMel,challenging,0,1
328.tiff,hMel,challenging,0,9
329.tiff,hMel,challenging,0,1
330.tiff,hMel,challenging,0,1
331.tiff,hMel,challenging,0,1
332.tiff,hMel,challenging,1,4
333.tiff,hMel,challenging,3,6
334.tiff,hMel,challenging,0,2
335.tiff,hMel,challenging,0,1
336.tiff,hMel,random,0,2
337.tiff,hMel,random,0,1
338.tiff,hMel,random,7,8
339.tiff,hMel,random,11,12
340.tiff,hMel,random,0,1
341.tiff,hMel,random,0,3
342.tiff,hMel,random,1,3
343.tiff,hMel,random,0,4
344.tiff,hMel,random,1,4
345.tiff,hMel,random,0,1
346.tiff,hMen,challenging,8,16
347.tiff,hMen,challenging,0,3
348.tiff,hMen,challenging,4,5
349.tiff,hMen,challenging,4,5
350.tiff,hMen,challenging,0,4
351.tiff,hMen,challenging,0,2
352.tiff,hMen,challenging,0,1
353.tiff,hMen,challenging,0,2
354.tiff,hMen,challenging,0,1
355.tiff,hMen,challenging,9,16
356.tiff,hMen,random,0,4
357.tiff,hMen,random,0,7
358.tiff,hMen,random,0,3
359.tiff,hMen,random,0,5
360.tiff,hMen,random,0,3
361.tiff,hMen,random,0,2
362.tiff,hMen,random,10,18
363.tiff,hMen,random,9,12
364.tiff,hMen,random,45,59
365.tiff,hMen,random,1,2
